"social","econ","service","country","education","destination","candidate","c.same","id","age","gender","ideology","likely","interest","aus","can","us","survey","dice"
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,90,25,"Female",3,6,7,5,5,7,"Chile",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,91,25,"Male",3,1,5,6,9,6,"Chile",11
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,1,92,22,"Female",3,6,7,7,9,10,"Chile",12
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,1,93,21,"Male",5,7,5,9,5,7,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,94,29,"Female",2,6,7,9,6,9,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,1,95,28,"Female",2,7,6,9,6,9,"Chile",4
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,96,19,"Female",5,4,5,7,5,4,"Chile",10
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,97,22,"Male",5,3,6,3,4,7,"Chile",5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,1,98,22,"Male",5,6,7,9,9,10,"Chile",10
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,0,99,27,"Female",3,3,4,7,6,4,"Chile",9
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,100,21,"Male",1,3,6,7,6,6,"Chile",7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,101,24,"Male",3,1,5,7,6,5,"Chile",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,102,23,"Male",5,7,6,9,9,5,"Chile",7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 90th Percentile",0,2,1,103,26,"Male",3,6,7,9,9,7,"Chile",6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,1,104,27,"Male",5,6,7,7,5,10,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,1,105,21,"Female",3,5,6,7,9,7,"Chile",9
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,1,106,22,"Female",5,5,6,9,6,6,"Chile",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 60th Percentile",0,2,0,107,21,"Male",7,5,7,6,6,10,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,108,26,"Male",7,6,7,9,9,10,"Chile",9
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,109,21,"Male",4,5,6,7,6,3,"Chile",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,110,21,"Female",2,3,6,6,5,9,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,0,111,20,"Male",10,1,7,7,3,6,"Chile",9
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,1,112,36,"Male",4,4,6,7,9,6,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,113,23,"Female",2,1,7,7,5,5,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,1,114,23,"Female",5,7,7,7,6,7,"Chile",2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,0,115,24,"Female",3,3,5,9,9,4,"Chile",4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,116,26,"Male",7,7,7,7,9,6,"Chile",11
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,1,117,22,"Male",4,3,5,7,4,5,"Chile",7
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,0,118,20,"Male",3,4,6,9,9,7,"Chile",9
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,119,20,"Male",7,3,5,7,9,5,"Chile",15
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 90th Percentile",0,2,0,120,21,"Male",5,6,6,6,6,6,"Chile",12
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,1,121,23,"Female",3,7,7,9,6,10,"Chile",4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,122,22,"Male",3,6,7,7,4,5,"Chile",12
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,1,123,21,"Male",6,3,6,7,6,7,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,1,124,21,"Female",7,4,6,9,6,6,"Chile",5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",0,2,0,125,27,"Male",7,7,7,9,6,7,"Chile",5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,0,126,25,"Male",1,5,7,6,4,4,"Chile",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,1,127,20,"Male",3,5,7,3,9,5,"Chile",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,128,22,"Male",3,5,7,9,6,7,"Chile",8
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,129,20,"Female",3,1,5,9,5,6,"Chile",14
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,130,25,"Male",3,7,6,9,6,7,"Chile",7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,0,131,21,"Female",4,3,7,9,9,5,"Chile",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 40th Percentile",0,2,0,132,21,"Female",5,5,7,6,6,10,"Chile",8
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,0,133,23,"Female",7,5,7,9,9,10,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,134,25,"Male",1,6,7,7,6,5,"Chile",12
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,1,135,26,"Male",4,7,5,7,9,6,"Chile",12
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,136,22,"Female",3,5,7,7,5,5,"Chile",7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,137,24,"Female",5,3,5,6,4,5,"Chile",8
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 40th Percentile",0,2,1,138,20,"Male",2,3,6,9,5,6,"Chile",15
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 90th Percentile",0,2,0,139,24,"Male",10,3,6,9,9,10,"Chile",11
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 40th Percentile",0,2,0,140,20,"Female",5,1,6,9,6,10,"Chile",8
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,141,23,"Female",4,7,5,7,5,5,"Chile",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,1,142,20,"Male",2,5,7,7,9,5,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,143,24,"Female",7,5,7,7,6,5,"Chile",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,144,22,"Female",5,5,5,9,6,10,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,1,145,23,"Female",5,3,4,7,4,4,"Chile",5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,0,146,23,"Male",6,7,7,7,5,7,"Chile",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,147,24,"Female",1,7,7,9,6,5,"Chile",5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,1,148,26,"Male",4,5,7,7,5,5,"Chile",9
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,149,25,"Female",2,3,2,7,6,6,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,1,150,23,"Female",7,5,5,9,4,7,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,1,151,35,"Female",5,6,7,7,5,4,"Chile",4
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,0,152,28,"Female",5,4,5,7,9,10,"Chile",7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,153,19,"Female",5,7,7,9,9,7,"Chile",4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,154,24,"Male",5,4,6,9,6,5,"Chile",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,0,155,19,"Female",5,1,7,9,9,10,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,0,156,24,"Male",5,1,4,4,4,7,"Chile",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,0,157,21,"Female",4,6,5,7,5,4,"Chile",8
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,158,19,"Male",2,1,5,4,9,10,"Chile",6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,0,159,19,"Male",5,1,7,9,6,7,"Chile",11
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,0,160,24,"Male",3,6,4,5,3,3,"Chile",14
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,1,161,19,"Female",5,6,6,7,9,6,"Chile",5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,0,162,22,"Female",4,3,5,6,6,5,"Chile",6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,163,19,"Female",2,7,6,9,9,7,"Chile",13
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,0,164,25,"Male",7,4,6,9,6,6,"Chile",5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,0,165,25,"Female",5,4,5,6,5,5,"Chile",16
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,166,20,"Female",3,5,6,6,4,7,"Chile",5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,167,25,"Female",3,6,5,9,9,5,"Chile",5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,168,26,"Male",2,4,5,6,6,5,"Chile",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,1,169,27,"Male",4,6,6,7,6,5,"Chile",10
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,1,170,25,"Female",4,5,5,7,4,6,"Chile",6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,171,24,"Male",3,6,7,9,6,7,"Chile",17
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,172,25,"Female",5,5,4,6,5,5,"Chile",8
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,173,23,"Female",3,7,7,9,6,4,"Chile",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,174,20,"Male",3,1,7,9,9,7,"Chile",11
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,175,24,"Female",5,7,6,9,5,7,"Chile",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,176,24,"Male",3,7,7,7,6,6,"Chile",22
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,177,23,"Female",5,7,5,9,4,7,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,178,22,"Female",3,3,7,9,4,9,"Chile",7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,1,179,23,"Female",7,7,7,9,6,6,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,180,23,"Male",4,7,7,7,6,7,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,1,181,25,"Female",2,6,5,7,5,10,"Chile",14
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,182,19,"Male",5,6,6,9,6,6,"Chile",12
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,183,20,"Male",2,5,7,9,9,7,"Chile",5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,184,23,"Female",3,5,7,7,6,6,"Chile",9
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 90th Percentile",0,2,1,185,20,"Female",6,3,6,7,5,6,"Chile",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 90th Percentile",1,2,0,186,23,"Male",2,6,7,9,6,5,"Chile",7
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,187,22,"Male",7,3,4,9,6,6,"Chile",16
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,1,188,23,"Female",5,5,7,9,9,10,"Chile",4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,0,189,24,"Female",3,4,6,7,6,7,"Chile",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,190,24,"Female",2,1,4,6,5,9,"Chile",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,1,191,19,"Male",6,3,1,9,9,10,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",0,2,0,192,24,"Female",5,4,7,9,9,10,"Chile",9
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,0,193,28,"Male",3,4,7,9,3,6,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,0,194,26,"Female",5,6,6,6,5,5,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,195,19,"Male",5,6,4,6,5,6,"Chile",5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,1,196,23,"Female",3,3,4,7,6,6,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 40th Percentile",0,2,1,197,27,"Female",4,6,7,9,6,4,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,0,198,26,"Male",5,5,6,9,9,10,"Chile",9
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,199,22,"Female",4,5,7,9,9,4,"Chile",8
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,200,28,"Male",7,3,7,9,9,10,"Chile",5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 40th Percentile",0,2,0,201,20,"Female",5,4,6,6,6,7,"Chile",10
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,202,27,"Female",4,7,7,9,5,9,"Chile",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,203,25,"Female",2,5,5,6,3,3,"Chile",4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,204,24,"Female",5,1,3,7,6,3,"Chile",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,205,23,"Male",5,1,6,9,9,10,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,206,20,"Male",7,7,6,9,9,10,"Chile",6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,0,207,22,"Female",4,4,6,9,6,6,"Chile",11
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.K.","Average international ranking of universities: 60th Percentile",1,2,0,208,26,"Male",5,6,7,9,6,6,"Chile",12
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,209,22,"Female",2,3,5,7,3,3,"Chile",6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.K.","Average international ranking of universities: 90th Percentile",0,2,0,210,23,"Female",5,3,4,7,6,7,"Chile",7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,0,211,53,"Female",5,3,6,9,9,6,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 40th Percentile",1,2,1,212,50,"Male",5,5,5,9,9,6,"Chile",6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,213,20,"Female",4,1,5,6,6,4,"Chile",5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,1,214,24,"Female",0,5,5,6,5,5,"Chile",11
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 60th Percentile",0,1,0,1,20,"Female",5,4,6,7,9,7,"Chile",6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 90th Percentile",0,1,1,2,22,"Male",7,5,7,6,9,5,"Chile",8
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,1,0,3,26,"Male",5,7,6,7,6,7,"Chile",4
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.K.","Average international ranking of universities: 90th Percentile",0,1,1,4,22,"Male",6,7,7,9,9,7,"Chile",14
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,1,0,5,21,"Male",6,7,7,7,5,4,"Chile",3
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,1,0,6,23,"Female",2,6,7,9,6,6,"Chile",10
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,1,0,7,24,"Male",5,4,6,7,6,7,"Chile",17
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,1,0,8,23,"Female",2,5,6,9,9,10,"Chile",4
